condition,class_id,class_name,precision,recall,mAP50,mAP50_95,precision_drop,recall_drop,mAP50_drop,mAP50_95_drop
gaussian_blur_severe,0,no_caries,0.7398365501145314,0.9299171062547099,0.8888140499551469,0.5411857903368748,-0.0030854527928614317,0.0007535795026374359,-0.0029521901980927856,0.0016166511921978932
gaussian_blur_severe,1,mild_caries,0.5177834750784643,0.6644591611479028,0.5668599571978193,0.3655147292574792,-0.009645919142160175,0.0066225165562914245,-0.001125488547350062,-0.000695088508031072
gaussian_blur_severe,2,moderate_caries,0.3708054954042357,0.2988505747126437,0.2758588316450712,0.16587138398072385,-0.030962102779353462,0.02298850574712641,-0.010792652755209298,-0.0083877955308638
gaussian_blur_severe,3,severe_caries,0.7220281633346609,0.7326445176428074,0.7668384627084359,0.4706692666068858,-0.02661291194965343,-0.014695799694089406,-0.010912347211724738,-0.006384402868667538
jpeg_compression_mild,all,all,0.5703466522445417,0.6685534084987205,0.6199385368205039,0.3827551001799184,-0.0003098279275757232,-0.008168368031213014,-0.0017913811219798514,-0.0004074665632686214
jpeg_compression_mild,0,no_caries,0.7304386963299286,0.9366993217784476,0.886218150643021,0.5449113945050016,0.0063124009917413515,-0.006028636021100264,-0.0003562908859668923,-0.002108952975928946
jpeg_compression_mild,1,mild_caries,0.5057476411075409,0.6821192052980133,0.5653619424759958,0.3637386683752871,0.002389914828763273,-0.011037527593819041,0.00037252617447347536,0.0010809723741609933
jpeg_compression_mild,2,moderate_caries,0.33604421091184966,0.33744638896970297,0.2715541789090573,0.16273873105722642,0.0037991817130325622,-0.01560730850993286,-0.006488000019195417,-0.00525514260736637
jpeg_compression_mild,3,severe_caries,0.7091560606288481,0.717948717948718,0.7566198752539416,0.4596316067821583,-0.01374080924384058,0.0,-0.0006937597572304055,0.004653256956059948
jpeg_compression_medium,all,all,0.556793732790585,0.6910788852163772,0.6186445657603041,0.3826121468491113,0.013243091526381034,-0.030693844748869714,-0.000497410061780057,-0.00026451323246157177
jpeg_compression_medium,0,no_caries,0.7207379708943343,0.9502637528259231,0.8859809258300799,0.5442555210180733,0.016013126427335655,-0.019593067068575776,-0.00011906607302580863,-0.0014530794890006415
jpeg_compression_medium,1,mild_caries,0.497619623570085,0.7152317880794702,0.5681735840478144,0.36553246965600067,0.010517932366219174,-0.04415011037527594,-0.002439115397345093,-0.0007128289065525539
